epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0842,3.41476,4.61852,4.21525,0.00184,0.15956,0.00347,0.00104,3.38807,4.12878,4.14687,0.00019387,0.00019387,0.00019387
2,169.606,3.16627,3.94831,3.7813,0.85827,0.02126,0.01052,0.00308,2.94364,3.6213,3.55055,0.00038601,0.00038601,0.00038601
3,251.951,2.83562,3.6271,3.31768,0.63192,0.04588,0.01761,0.00638,2.67195,5.02179,3.34498,0.000574269,0.000574269,0.000574269
4,332.397,2.5011,3.34537,2.95515,0.78607,0.0615,0.06544,0.02509,2.26488,2.76886,2.80981,0.000570536,0.000570536,0.000570536
5,414.116,2.21217,3.04113,2.62573,0.27681,0.13944,0.06169,0.02398,2.26058,4.46829,2.83255,0.000564715,0.000564715,0.000564715
6,494.559,2.05974,2.8246,2.43781,0.38046,0.11789,0.10846,0.05188,1.85904,2.3958,2.26253,0.000558894,0.000558894,0.000558894
7,575.287,1.92618,2.626,2.26509,0.54148,0.10433,0.11135,0.04956,2.00806,2.39447,2.31745,0.000553073,0.000553073,0.000553073
8,654.902,1.80466,2.55231,2.17192,0.48165,0.15284,0.13266,0.06376,1.81781,2.28349,2.16864,0.000547252,0.000547252,0.000547252
9,734.475,1.78694,2.46209,2.11428,0.28073,0.16487,0.13902,0.07104,1.64218,2.07932,1.99507,0.00054143,0.00054143,0.00054143
10,814.199,1.7154,2.36004,2.03636,0.49301,0.17241,0.14737,0.07824,1.71723,2.01781,1.99153,0.000535609,0.000535609,0.000535609
11,894.537,1.68971,2.28121,1.99511,0.26721,0.20463,0.15449,0.08205,1.61228,1.96588,1.8917,0.000529788,0.000529788,0.000529788
12,973.787,1.64866,2.20182,1.93973,0.36205,0.19785,0.17032,0.09856,1.52571,1.89469,1.83583,0.000523967,0.000523967,0.000523967
13,1053.05,1.60755,2.13282,1.91205,0.20519,0.24183,0.16786,0.09724,1.554,1.86924,1.85455,0.000518146,0.000518146,0.000518146
14,1132.27,1.58595,2.10686,1.87583,0.29381,0.18871,0.1726,0.1008,1.53529,1.79888,1.80466,0.000512324,0.000512324,0.000512324
15,1211.56,1.54923,2.04679,1.84043,0.21562,0.24043,0.18213,0.10291,1.5163,1.78072,1.79985,0.000506503,0.000506503,0.000506503
16,1290.78,1.53195,1.97375,1.81199,0.23282,0.25321,0.20017,0.11509,1.56182,1.70643,1.80277,0.000500682,0.000500682,0.000500682
17,1370.33,1.50275,1.9231,1.78851,0.22055,0.28618,0.21187,0.12798,1.40074,1.68827,1.69039,0.000494861,0.000494861,0.000494861
18,1449.63,1.50494,1.87548,1.76378,0.16313,0.299,0.22639,0.13908,1.38807,1.67778,1.67314,0.00048904,0.00048904,0.00048904
19,1528.88,1.46555,1.85118,1.72649,0.15227,0.2928,0.23215,0.14156,1.36689,1.6559,1.66024,0.000483218,0.000483218,0.000483218
20,1608.11,1.44319,1.80551,1.71743,0.1973,0.29407,0.23866,0.13814,1.45883,1.64159,1.71195,0.000477397,0.000477397,0.000477397
21,1687.28,1.43844,1.78347,1.69831,0.21061,0.32164,0.25055,0.15802,1.34224,1.54263,1.62097,0.000471576,0.000471576,0.000471576
22,1766.54,1.42414,1.75049,1.69704,0.24084,0.3105,0.27234,0.1719,1.29936,1.53332,1.59291,0.000465755,0.000465755,0.000465755
23,1845.86,1.4155,1.74158,1.67445,0.22526,0.37746,0.26212,0.16937,1.30321,1.53054,1.59429,0.000459934,0.000459934,0.000459934
24,1925.1,1.3842,1.71071,1.65779,0.21905,0.34353,0.26876,0.16982,1.31259,1.51124,1.60701,0.000454112,0.000454112,0.000454112
25,2004.08,1.39633,1.70801,1.65945,0.24426,0.40795,0.3032,0.18998,1.2713,1.42919,1.55137,0.000448291,0.000448291,0.000448291
26,2083.25,1.35983,1.65522,1.63014,0.26469,0.35309,0.28141,0.18116,1.27416,1.44214,1.55415,0.00044247,0.00044247,0.00044247
27,2162.53,1.36973,1.62867,1.61966,0.2782,0.44533,0.32705,0.21172,1.25315,1.43746,1.54556,0.000436649,0.000436649,0.000436649
28,2241.68,1.33926,1.61953,1.6032,0.308,0.42696,0.33399,0.22156,1.2347,1.36378,1.52096,0.000430828,0.000430828,0.000430828
29,2320.82,1.33093,1.5923,1.59106,0.32194,0.45992,0.34983,0.2332,1.21875,1.37411,1.5088,0.000425006,0.000425006,0.000425006
30,2399.99,1.34996,1.58733,1.61455,0.33281,0.42307,0.35457,0.23562,1.19212,1.3577,1.4981,0.000419185,0.000419185,0.000419185
